frame.number,ip.src,ip.dst,_ws.col.info
195,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2377 Ack=2305 Win=2048 Len=0 TSval=4271057859 TSecr=2596686210
196,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
197,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
198,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2413 Ack=2341 Win=2048 Len=0 TSval=4271057877 TSecr=2596686229
199,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
200,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
201,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2449 Ack=2377 Win=2048 Len=0 TSval=4271057899 TSecr=2596686251
202,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
203,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
204,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2485 Ack=2413 Win=2048 Len=0 TSval=4271057917 TSecr=2596686269
205,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
206,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
207,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2521 Ack=2449 Win=2048 Len=0 TSval=4271057938 TSecr=2596686291
208,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
209,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
210,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
211,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
212,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2593 Ack=2485 Win=2048 Len=0 TSval=4271057960 TSecr=2596686312
213,172.16.0.4,168.63.129.16,45952 → 32526 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3784447238 TSecr=0 WS=128
