ip.src,ip.dst,_ws.col.info
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3097 Ack=13477 Win=2048 Len=0 TSval=4270414941 TSecr=2596043290
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3133 Ack=13513 Win=2048 Len=0 TSval=4270414959 TSecr=2596043309
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3169 Ack=13549 Win=2048 Len=0 TSval=4270414981 TSecr=2596043331
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3205 Ack=13585 Win=2048 Len=0 TSval=4270415001 TSecr=2596043351
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3241 Ack=13621 Win=2048 Len=0 TSval=4270415022 TSecr=2596043372
49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3277 Ack=13657 Win=2048 Len=0 TSval=4270415042 TSecr=2596043392
49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=3277 Ack=13693 Win=2048 Len=0 TSval=4270415063 TSecr=2596043412
49.228.168.4,172.16.0.4,[TCP Keep-Alive] 59875 → 22 [ACK] Seq=3276 Ack=13693 Win=2048 Len=0
172.16.0.4,49.228.168.4,[TCP Keep-Alive ACK] 22 → 59875 [ACK] Seq=13693 Ack=3277 Win=613 Len=0 TSval=2596043697 TSecr=4270415063
172.16.0.4,168.63.129.16,40356 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3783805066 TSecr=0 WS=128
168.63.129.16,172.16.0.4,80 → 40356 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=3238276417 TSecr=3783805066
172.16.0.4,168.63.129.16,40356 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3783805067 TSecr=3238276417
172.16.0.4,168.63.129.16,GET /machine/?comp=goalstate HTTP/1.1 
168.63.129.16,172.16.0.4,HTTP/1.1 200 OK 
172.16.0.4,168.63.129.16,40356 → 80 [ACK] Seq=201 Ack=2275 Win=68864 Len=0 TSval=3783805069 TSecr=3238276419
172.16.0.4,168.63.129.16,40356 → 80 [FIN, ACK] Seq=201 Ack=2275 Win=68864 Len=0 TSval=3783805069 TSecr=3238276419
172.16.0.4,168.63.129.16,59620 → 32526 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3783805070 TSecr=0 WS=128
168.63.129.16,172.16.0.4,80 → 40356 [ACK] Seq=2275 Ack=202 Win=4195072 Len=0 TSval=3238276420 TSecr=3783805069
168.63.129.16,172.16.0.4,32526 → 59620 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=3238276420 TSecr=3783805070
172.16.0.4,168.63.129.16,59620 → 32526 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3783805071 TSecr=3238276420
172.16.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
168.63.129.16,172.16.0.4,HTTP/1.1 304 Not Modified 
172.16.0.4,168.63.129.16,59620 → 32526 [FIN, ACK] Seq=439 Ack=178 Win=64128 Len=0 TSval=3783805076 TSecr=3238276426
